"id","hashtag"
"8","ipad"
"9","macbook"
"10","iphone"
"11","headphones"
"12","processor"
"13","laptop"
"14","sweater"
"15","shirt"
"16","jacket"
"17","pants"
"18","shorts"
"19","earrings"
"20","ring"
"21","necklace"
"22","perfume"
"23","cologne"
"24","microsoft"
"25","samsung"
"26","lg"
"27","sony"
"id","hashtag_id","tweet","tweet_id"
"2527","8","Warcraft Shadowlands and Stream Raiders  $500 iPad Mini giveaway at 500 subs. #Giveaway #iPadMini #iPad #Apple #pathtopartner #TwitchAffilate #twitch #SupportSmallStreamers #StreamRaiders #Shadowlands #warcraft #wow #ForTheHorde
 https://t.co/X41iJsRMrv","1333916136895893509"
"2528","8","Just ordered an iPad Pro.... I feel poorer already 🤣

#iPad","1333915622598643713"
"2529","8","RT @AbutoraArt: Mewtwo Sketch 
Sketch # : 150
Device used: @Apple iPad (2018) and Apple Pencil 1 
App: Sketches by Tayasui Sketches 
Drawin…","1333914734207393793"
"2530","8","Study: June 20, 2019-7 #オリジナル #pixiv #パターン #2019 #スケッチ #創作 #習作 #らくがき #procreate #iPad https://t.co/GZd8sfBHOX https://t.co/5eSaANmcFZ","1333914499171028993"
"2531","8","RT @TRIPMUZE: My new dream machine was warmly welcomed to my home. Ho-ho-ho.
Been an iPad user since the first one debuted in this world. I…","1333914241385050114"
"2532","8","My new dream machine was warmly welcomed to my home. Ho-ho-ho.
Been an iPad user since the first one debuted in this world. I can’t survive without this lol.

@apple #apple #ipadpro #ipad #christmasgift #christmas #merrychristmas #hohoho #dreammachine #t… https://t.co/J7oyQ7XVdE https://t.co/ZYqJEoK02w","1333914183805661184"
"2533","8","Try free #ipadgame Sushi Roll 3D - Best Food Game - SayGames LLC https://t.co/9wOiuc9gUG via @ukteamsocial #ipadgames #ipad https://t.co/yanOoc8cNP","1333913087133569026"
"2534","8","RT @PS5only: Play your PS5 directly on your iPhone, iPad &amp; Android phone's screen, using the official Sony PlayStation Remote Play app 

ht…","1333912829225799693"
"2535","8","&gt;Please Retweet.

Win $20,000 USD in #Software and Hi-Tech Swag -- Includes an #iPad Air 4 + a Logitech C922 Webcam + a Blue Yeti Nano Mic --- Open Worldwide! 🌎

#webdesign #wordpress #SEO #webhostingservices #win #contest #giveaway #sweepstakes #sorteo

https://t.co/BOw0oukDFV","1333912406666383363"
"2536","8","RT @SinmaraDesign: 📢30% off this item today!
https://t.co/PPPX4ueQGh
#laptop #laptops #laptopskin #ipad #ipads #ipadskin #pattern #society6…","1333909141581127683"
"2537","8","RT @maccoupons: New 12"" 1TB WiFi+Cell  #Apple #iPad Pros for $1499 at B&amp;H, $150 off. Free ship. https://t.co/Xj1e5qHVxP","1333908901788602370"
"2538","8","RT @iTracx: Apple iPad mini Price Tracker, real-time prices and sales #ipad #apple #ipadmini https://t.co/4v7tVoaflY","1333908900966518785"
"2539","8","Apple iPad mini Price Tracker, real-time prices and sales #ipad #apple #ipadmini https://t.co/4v7tVoaflY","1333908874592706562"
"2540","8","New 12"" 1TB WiFi+Cell  #Apple #iPad Pros for $1499 at B&amp;H, $150 off. Free ship. https://t.co/Xj1e5qHVxP","1333908874269777923"
"2541","8","BMX Challenge 1 EndoWheelie by RangerXpr - Play Now! https://t.co/LfnQGqtHRB #ipad #action #game","1333908757051531274"
"2542","8","RT @GameBooArt: 12.Jigglypuff

#pokemon #swordandshield #crowntundra #PokemonGo #PokemonRedandBlue #isleofarmor #supersmashbros #smashbros…","1333906221133344768"
"2543","8","RT @GameBooArt: 12.Jigglypuff

#pokemon #swordandshield #crowntundra #PokemonGo #PokemonRedandBlue #isleofarmor #supersmashbros #smashbros…","1333906048717975552"
"2544","8","RT @GameBooArt: 12.Jigglypuff

#pokemon #swordandshield #crowntundra #PokemonGo #PokemonRedandBlue #isleofarmor #supersmashbros #smashbros…","1333906009010614273"
"2545","8","12.Jigglypuff

#pokemon #swordandshield #crowntundra #PokemonGo #PokemonRedandBlue #isleofarmor #supersmashbros #smashbros #supersmashbrosultimate #smashbrosultimate #Nintendo #Switch #videogames #art #artoftheday #sketch #sketchoftheday #digitalart #ipad  #medibangpaint https://t.co/vX0xLcRE1f","1333905613722578945"
"2546","8","RT @paperlike: 🌟 #Giveaway Alert! 🌟

Ready to upgrade your drawing &amp; writing experience on your iPad? Maybe you know an #ipad user who need…","1333904049041653762"
"2547","8","FREE #gay #fantasy «Bonds of Hate» ""Thrilling, intense and engrossing"" https://t.co/ibV7cKrqHj #Kindle #Kobo #Nook #Tolino #iPad #gayromance #mm #adventure #fantasy","1333903713514172419"
"2548","8","RT @ktaraszk: Well... it seems someone was able to run #Microsoft #Windows #XP on the #iPad already! Good sign!","1333903546018914305"
"2549","8","Well... it seems someone was able to run #Microsoft #Windows #XP on the #iPad already! Good sign!","1333903528348299272"
"2550","8","RT @NotCasandwich: Been a while—longer than I would have liked but life got a bit busier than I thought it would this past month. Happy to…","1333902770244501504"
"2551","8","RT @iphone_everyday: iPhone 11 Pro #Giveaway 

⭐To Win :
⭐#Like &amp; #RT 
⭐#Follow 
@iphone_everyday

⭐#Tag 2 Friends
⭐Turn on twitter notific…","1333902370875478017"
"2552","8","RT @AbutoraArt: Mewtwo Sketch 
Sketch # : 150
Device used: @Apple iPad (2018) and Apple Pencil 1 
App: Sketches by Tayasui Sketches 
Drawin…","1333900106190319617"
"2553","8","Hurray! I have finished ""Maintain Your Reputation"" task  in Big Business HD for iPad!  #ipad #gameinsight #ipadgames","1333900004440879106"
"2554","8","Hoping to get my @DonorsChoose project funded for #GivingTuesday! All donations are doubled today only.  #edtech #makerspace #ipad https://t.co/fFckrwBxmF","1333899623614865412"
"2555","8","RT @carlale35507749: @Argos_Online @Apple Someone collected my daughters iPad I bought in Argos, pretending to be me and Argos won’t refund…","1333899244982263810"
"2556","8","RT @maccoupons: New 12"" 512GB WiFi+Cell #Apple #iPad Pros for $1349 at #Amazon, $100 off. Free ship. https://t.co/Ecm4WqqKAp","1333898808846008321"
"2557","8","New 12"" 512GB WiFi+Cell #Apple #iPad Pros for $1349 at #Amazon, $100 off. Free ship. https://t.co/Ecm4WqqKAp","1333898683117658120"
"2558","8","Mewtwo Sketch 
Sketch # : 150
Device used: @Apple iPad (2018) and Apple Pencil 1 
App: Sketches by Tayasui Sketches 
Drawing time 1h 10m
YT: Abutora 
IG: @abutora_art
#Apple #pencil #art #drawing #sketch #pokemon #pikachu #anime #ipad #japan #Mewtwo #Alien #made_in_sketches https://t.co/QzY6QabhqX","1333897745711714304"
"2559","8","RT @PrevisPro: The Spider-Man Kiss #storyboard #previz #filmmakers #ipad
#FilmTwitter #directors  https://t.co/b3wnOXxYRC https://t.co/nJnx…","1333896596946382848"
"2560","8","The Spider-Man Kiss #storyboard #previz #filmmakers #ipad
#FilmTwitter #directors  https://t.co/b3wnOXxYRC https://t.co/nJnxyECTEu","1333896299943489538"
"2561","8","RT @nibs274: Are you considering a #batteryreplacement for your #iPad? 

Here's how you can get the best price or do it yourself if you fee…","1333895904487743492"
"2562","8","@Argos_Online @Apple Someone collected my daughters iPad I bought in Argos, pretending to be me and Argos won’t refund, even with cctv of the robber #argos #poorcustomerservices #apple #ipad #christmas ###","1333895772962779141"
"2563","8","RT @RenderToken: "" @swatchbookus has been working to connect revolutionary distributed GPU cloud-rendering platform RNDR directly to mix. ""…","1333894165663399936"
"2564","8","RT @RenderToken: "" @swatchbookus has been working to connect revolutionary distributed GPU cloud-rendering platform RNDR directly to mix. ""…","1333893519220596738"
"2565","8","RT @maccoupons: New 12"" 256GB WiFi+Cell #Apple #iPad Pros for $1149 at #Amazon, That's $100 off. Free ship. https://t.co/0gvKLR3Dps","1333892796579627008"
"2566","8","RT @LumaTouch: Today is your last chance in 2020 to get LumaFusion, FCPXML Export, and/or Storyblocks for LumaFusion at a discount! Don’t m…","1333892204218167296"
"2567","8","New 12"" 256GB WiFi+Cell #Apple #iPad Pros for $1149 at #Amazon, That's $100 off. Free ship. https://t.co/0gvKLR3Dps","1333891135060795392"
"2568","8","Did a spot of sketchnoting at the weekend for an upcoming SEND event. #sketchnote #ipad #visualfacilitation https://t.co/ZcZggvqi8l","1333890556783710216"
"2569","8","RT @AppleiDeals: Apple 20W USB-C Power Adapter $16.99 Affiliated Link https://t.co/XeSMd7l7PY #Apple #iPhone #iPad https://t.co/VqWgpU1ul1","1333889739376652289"
"2570","8",""" @swatchbookus has been working to connect revolutionary distributed GPU cloud-rendering platform RNDR directly to mix. ""

🔥Photographic cloud-rendering directly from the iPad🔥

$RNDR #cloudrender #blockchaintechnology #ipad https://t.co/Vk2e06QKEs","1333889211989073920"
"2571","8","Apple 20W USB-C Power Adapter $16.99 Affiliated Link https://t.co/XeSMd7l7PY #Apple #iPhone #iPad https://t.co/VqWgpU1ul1","1333889093575602176"
"2572","8","RT @noticiaswp: WordPress 3.1 para #iOS #wordpress https://t.co/ztHRuNrBla #ipad","1333888740394143745"
"2573","8","🔥How one can save a Safari webpage to Notes on Mac, iPhone, and iPad
👉https://t.co/gc5WrYlxEy
#news #tech #computer #game #live #how-to #ipad #iphone #tutorial #howto #icloudnotes #notes #productivity #safari #save #share #tutorial https://t.co/MECmgPanNS","1333888407077007360"
"2574","8","RT @Art_of_Matt: So, it’s been a bit. I’ve been super busy and kind of lost myself. Going to try to get organized and set priorities better…","1333887647631110144"
"2575","8","RT @iphone_everyday: iPhone 11 Pro #Giveaway 

⭐To Win :
⭐#Like &amp; #RT 
⭐#Follow @iphone_everyday

⭐#Tag 2 Friends
⭐Turn on twitter notifica…","1333887480676937730"
"2576","8","WordPress 3.1 para #iOS #wordpress https://t.co/ztHRuNrBla #ipad","1333887405506564096"
"2577","8","RT @iphone_everyday: iPhone 11 Pro #Giveaway 

⭐To Win :
⭐#Like &amp; #RT 
⭐#Follow @iphone_everyday

⭐#Tag 2 Friends
⭐Turn on twitter notifica…","1333884956851003393"
"2578","8","RT @UnknownAmnesiac: Here’s my new logo..

#art #illustration #digitalart #procreate #ipad #applepencil #instart #drawing #logo #insignia #…","1333884359447875589"
"2579","8","RT @techclassrocks: #12DaysofCreativity is back in 2 days! 🥳
Join us for new activities designed to foster creativity w/ #iPad.

➡️ Workboo…","1333883776032788486"
"2580","8","RT @techclassrocks: #12DaysofCreativity is back in 2 days! 🥳
Join us for new activities designed to foster creativity w/ #iPad.

➡️ Workboo…","1333883645527019523"
"2581","8","RT @LumaTouch: Today is your last chance in 2020 to get LumaFusion, FCPXML Export, and/or Storyblocks for LumaFusion at a discount! Don’t m…","1333882853722124289"
"2582","8","Here’s my new logo..

#art #illustration #digitalart #procreate #ipad #applepencil #instart #drawing #logo #insignia #profilepic #emblem #comic #graphicdesign #illustration #retro #retrowave #neon #demon #omni #anime #manga #vampire #dragonball #originalcharacter https://t.co/A0OCA4AZgR","1333881441596403715"
"2583","8","I've collected $15869750! Who can collect more? It's a challenge! https://t.co/U9xGoTieer #ipad #ipadgames #gameinsight","1333881146438987777"
"2584","9","@AppleSupport I just updated my #MacBook to the newest software upgrade and now it won’t turn on without restarting every 30 seconds. Help! https://t.co/pp29vaG2Am","1333942341581877250"
